"titre";"url";"Jeu par défaut";"PQN française";"PQR française";"Agence de presse";"Presse magazine";"Actualité nationale";"Actualité politique, débats et dossiers";"Actualité internationale";"Actualité économique et finance";"Actualité sciences, culture, arts et média";"Actualité énergie et environnement";"Actualité numérique";"Actualité sports";"Actualité Style, déco, famille et mode de vie";"Actualité argent et placements";"Actualité Justice, insolite, vidéos et faits-divers";"Actualité vie quotidienne, santé et auto-moto";"Actualité locale et sorties";"Actualité éducation, études formation et emploi";"Communauté du renseignement économique"
"LaProvence.com - Economie – Argent";"http://www.laprovence.com/rss/Economie-Argent.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Economie – Immobilier";"http://www.laprovence.com/rss/Economie-Immobilier.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - OM – Actualités";"http://www.laprovence.com/rss/OM-Actualites-A-la-une.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LaProvence.com - OM – le Direct";"http://www.laprovence.com/rss/OM-Le-Direct.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LaProvence.com - OM";"http://www.laprovence.com/rss/rss_om.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LaProvence.com - Sports";"http://www.laprovence.com/rss/Sports.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LaProvence.com - Sports en direct";"http://www.laprovence.com/rss/Sports-en-direct.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LaProvence.com - Sports Région";"http://www.laprovence.com/rss/Sport-Region.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LaProvence.com - Foot";"http://www.laprovence.com/rss/foot.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LaProvence.com - Natation";"http://www.laprovence.com/rss/natation.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LaProvence.com - Rugby";"http://www.laprovence.com/rss/rugby.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LaProvence.com - Voile";"http://www.laprovence.com/rss/voile.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"LaProvence.com - Loisirs";"http://www.laprovence.com/rss/Loisirs.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Loisirs en direct";"http://www.laprovence.com/rss/loisirs-en-direct.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Spectacles";"http://www.laprovence.com/rss/spectacles.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Télévision";"http://www.laprovence.com/rss/télé.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Voyages";"http://www.laprovence.com/rss/voyages.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Cinéma";"http://www.laprovence.com/rss/cinema.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Montagne";"http://www.laprovence.com/rss/montagne.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Jeux vidéos";"http://www.laprovence.com/rss/jeux-video.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Balades";"http://www.laprovence.com/rss/balades.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Mer";"http://www.laprovence.com/rss/mer.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Elles&co";"http://www.laprovence.com/rss/Elles-co.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Flash";"http://www.laprovence.com/rss/flash.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Beauté";"http://www.laprovence.com/rss/beaute.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"oui";"non";"non"
"LaProvence.com - Mode";"http://www.laprovence.com/rss/mode.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Shopping";"http://www.laprovence.com/rss/shopping.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Famille";"http://www.laprovence.com/rss/famille.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"oui";"non";"non"
"LaProvence.com - Saveurs";"http://www.laprovence.com/rss/saveurs.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Déco-temps libre";"http://www.laprovence.com/rss/deco-temps-libre.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Nutrition";"http://www.laprovence.com/rss/nutrition.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Forme";"http://www.laprovence.com/rss/forme.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Psychologie";"http://www.laprovence.com/rss/psycho.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Sexo";"http://www.laprovence.com/rss/sexo.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Aix-Pays d’Aix";"http://www.laprovence.com/rss/aix-pays-daix.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Alpes";"http://www.laprovence.com/rss/alpes.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Arles";"http://www.laprovence.com/rss/arles.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Edition Aubagne";"http://www.laprovence.com/rss/edition-aubagne.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Edition La Ciotat";"http://www.laprovence.com/rss/edition-la-ciotat.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Avignon – Grand Avignon";"http://www.laprovence.com/rss/avignon-grand-avignon.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Carpentras – Comtat";"http://www.laprovence.com/rss/carpentras-comtat.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Vitrolles – Marignane";"http://www.laprovence.com/rss/vitrolles-marignane.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Haut-Vaucluse";"http://www.laprovence.com/rss/haut-vaucluse.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Marseille";"http://www.laprovence.com/rss/marseille.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Martigues-Istres";"http://www.laprovence.com/rss/martigues-istres.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Salon";"http://www.laprovence.com/rss/salon.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LaProvence.com - Sud-Vaucluse";"http://www.laprovence.com/rss/sud-vaucluse.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - A la une";"http://www.corsematin.com/corse/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Dernière minute";"http://www.corsematin.com/derniere-minute/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Faits divers";"http://www.corsematin.com/faits-divers/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Politique";"http://www.corsematin.com/politique/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Justice";"http://www.corsematin.com/justice/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"oui";"non";"non"
"CorseMatin.com - Société";"http://www.corsematin.com/societe/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Economie";"http://www.corsematin.com/economie/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Santé";"http://www.corsematin.com/sante/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Culture et loisirs";"http://www.corsematin.com/culture-et-loisirs/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Auto-moto";"http://www.corsematin.com/automoto/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Célébrités";"http://www.corsematin.com/people/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Etudiants";"http://www.corsematin.com/etudiants/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - France";"http://www.corsematin.com/france/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Monde";"http://www.corsematin.com/monde/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Sports";"http://www.corsematin.com/sports/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"CorseMatin.com - Football";"http://www.corsematin.com/football/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"CorseMatin.com - AC-Ajaccio";"http://www.corsematin.com/ac-ajaccio/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"CorseMatin.com - SC-Bastia";"http://www.corsematin.com/sc-bastia/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"CorseMatin.com - Sports mécaniques";"http://www.corsematin.com/sports-mecaniques/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"CorseMatin.com - Autres sports";"http://www.corsematin.com/autres-sports/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"CorseMatin.com - Haute-Corse";"http://www.corsematin.com/haute-corse/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Bastia";"http://www.corsematin.com/communes/Bastia/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Calvi";"http://www.corsematin.com/communes/Calvi/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Corte";"http://www.corsematin.com/communes/Corte/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Corse du Sud";"http://www.corsematin.com/corse-du-sud/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Ajaccio";"http://www.corsematin.com/communes/Ajaccio/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"CorseMatin.com - Sartene";"http://www.corsematin.com/communes/Sartene/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Porto-Vecchio";"http://www.corsematin.com/communes/Porto-Vecchio/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"CorseMatin.com - Plaine orientale";"http://www.corsematin.com/plaine-orientale/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Côte d’Azur";"http://www.nicematin.com/cote-dazur/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Faits divers";"http://www.nicematin.com/derniere-minute/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Politique";"http://www.nicematin.com/faits-divers/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Justice";"http://www.nicematin.com/politique/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"oui";"non";"non"
"NiceMatin.com - Société";"http://www.nicematin.com/justice/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Economie";"http://www.nicematin.com/societe/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Economie";"http://www.nicematin.com/economie/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Santé";"http://www.nicematin.com/sante/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Culture et loisirs";"http://www.nicematin.com/culture-et-loisirs/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Auto-moto";"http://www.nicematin.com/automoto/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Célébrités";"http://www.nicematin.com/people/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - France";"http://www.nicematin.com/france/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Monde";"http://www.nicematin.com/monde/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Sports";"http://www.nicematin.com/sports/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - Football";"http://www.nicematin.com/football/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - OGC Nice";"http://www.nicematin.com/ogc-nice/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - AS Monaco";"http://www.nicematin.com/as-monaco/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - AS Cannes";"http://www.nicematin.com/as-cannes/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - Rugby";"http://www.nicematin.com/rugby/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - RCT";"http://www.nicematin.com/rct/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - Basket";"http://www.nicematin.com/basket/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - Volley";"http://www.nicematin.com/volley/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - Sports nautiques";"http://www.nicematin.com/sports-nautiques/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - Cyclisme";"http://www.nicematin.com/cyclisme/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - Tennis";"http://www.nicematin.com/tennis/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - Autres sports";"http://www.nicematin.com/autres-sports/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"NiceMatin.com - Antibes";"http://www.nicematin.com/communes/Antibes/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Cagnes sur mer";"http://www.nicematin.com/communes/Cagnes-sur-Mer/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Canne";"http://www.nicematin.com/communes/Cannes/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Grasse";"http://www.nicematin.com/communes/Grasse/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Menton";"http://www.nicematin.com/communes/Menton/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Nice";"http://www.nicematin.com/communes/Nice/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Monaco";"http://www.nicematin.com/communes/Monaco/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"NiceMatin.com - Vallées";"http://www.nicematin.com/communes/Vallees/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"L-Echo.info - A la une";"http://www.l-echo.info/flux.xml";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Var";"http://www.varmatin.com/var/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Dernière minute";"http://www.varmatin.com/derniere-minute/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Faits divers";"http://www.varmatin.com/faits-divers/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"oui";"non";"non"
"VarMatin.com - Politique";"http://www.varmatin.com/politique/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Justice";"http://www.varmatin.com/justice/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"oui";"non";"non"
"VarMatin.com - Société";"http://www.varmatin.com/societe/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Economie";"http://www.varmatin.com/economie/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Santé";"http://www.varmatin.com/sante/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Culture et loisirs";"http://www.varmatin.com/culture-et-loisirs/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Auto-moto";"http://www.varmatin.com/automoto/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Célébrités";"http://www.varmatin.com/people/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - France";"http://www.varmatin.com/france/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Monde";"http://www.varmatin.com/monde/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Sports";"http://www.varmatin.com/sports/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"VarMatin.com - Rugby";"http://www.varmatin.com/rugby/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"VarMatin.com - RCT";"http://www.varmatin.com/rct/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"VarMatin.com - Football";"http://www.varmatin.com/football/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"VarMatin.com - Basket";"http://www.varmatin.com/basket/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"VarMatin.com - Volley";"http://www.varmatin.com/volley/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"VarMatin.com - Sports nautiques";"http://www.varmatin.com/sports-nautiques/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"VarMatin.com - Handball";"http://www.varmatin.com/handball/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"VarMatin.com - Autres sports";"http://www.varmatin.com/autres-sports/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"VarMatin.com - Brignoles";"http://www.varmatin.com/communes/Brignoles/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Draguignan";"http://www.varmatin.com/communes/Draguignan/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"VarMatin.com - Frejus";"http://www.varmatin.com/communes/Frejus/rss";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
